23220_1#10	III	N/A	99.419	0	172	172	1	0	924273	924444	1	172	1.50e-85	313
23220_1#11	Ib	N/A	100.000	0	143	143	0	0	896929	897071	143	1	4.38e-71	265
23220_1#17	III	N/A	99.419	0	172	172	1	0	747026	747197	172	1	1.58e-85	313
23220_1#18	III	N/A	99.419	0	172	172	1	0	760618	760789	172	1	1.50e-85	313
23220_1#19	III	N/A	99.419	0	172	172	1	0	969049	969220	1	172	1.50e-85	313
23220_1#1	II	N/A	100.000	0	139	139	0	0	2117256	2117394	1	139	7.10e-69	257
23220_1#25	III	N/A	99.419	0	172	172	1	0	1069755	1069926	172	1	1.55e-85	313
23220_1#26	III	N/A	99.419	0	172	172	1	0	969085	969256	1	172	1.50e-85	313
23220_1#27	Ia	N/A	94.406	0	143	143	8	0	542676	542818	1	143	9.77e-58	220
23220_1#2	IV	N/A	100.000	0	222	222	0	0	1341318	1341539	1	222	5.15e-115	411
23220_1#33	III	N/A	99.419	0	172	172	1	0	1265045	1265216	1	172	1.54e-85	313
23220_1#34	II	N/A	100.000	0	139	139	0	0	2122388	2122526	139	1	7.13e-69	257
23220_1#35	IV	N/A	100.000	0	222	222	0	0	1396123	1396344	222	1	5.18e-115	411
23220_1#3	Ia	N/A	94.406	0	143	143	8	0	1258897	1259039	1	143	9.45e-58	220
23220_1#41	Ia	N/A	94.406	0	143	143	8	0	69870	70012	143	1	9.13e-58	220
23220_1#42	V	N/A	100.000	0	171	171	0	0	1152646	1152816	1	171	1.21e-86	316
23220_1#42	III	N/A	99.390	0	164	172	1	0	2356678	2356841	9	172	4.40e-81	298
23220_1#42	II	N/A	100.000	0	50	139	0	0	2309715	2309764	50	1	2.23e-19	93.5
23220_1#43	III	N/A	99.419	0	172	172	1	0	1330498	1330669	1	172	1.51e-85	313
23220_1#49	Ia	N/A	94.406	0	143	143	8	0	819526	819668	143	1	9.22e-58	220
23220_1#49	III	N/A	99.065	0	107	172	1	0	2229906	2230012	107	1	2.01e-49	193
23220_1#50	V	N/A	100.000	0	171	171	0	0	4764	4934	1	171	1.12e-86	316
23220_1#57	V	N/A	100.000	0	171	171	0	0	1179279	1179449	171	1	1.15e-86	316
23220_1#58	IV	N/A	100.000	0	222	222	0	0	1035580	1035801	222	1	5.36e-115	411
23220_1#59	II	N/A	100.000	0	139	139	0	0	2118128	2118266	139	1	7.06e-69	257
23220_1#65	V	N/A	100.000	0	171	171	0	0	584858	585028	171	1	1.14e-86	316
23220_1#66	V	N/A	100.000	0	171	171	0	0	1005599	1005769	171	1	1.11e-86	316
23220_1#67	V	N/A	100.000	0	171	171	0	0	583812	583982	171	1	1.14e-86	316
23220_1#73	III	N/A	99.419	0	172	172	1	0	1416572	1416743	1	172	1.48e-85	313
23220_1#74	V	N/A	100.000	0	171	171	0	0	2300180	2300350	1	171	1.31e-86	316
23220_1#74	Ia	N/A	94.406	0	143	143	8	0	25044	25186	143	1	1.06e-57	220
23220_1#81	IV	N/A	100.000	0	222	222	0	0	1178770	1178991	222	1	4.96e-115	411
23220_1#82	Ia	N/A	94.406	0	143	143	8	0	890234	890376	1	143	9.07e-58	220
23220_1#89	Ia	N/A	94.406	0	143	143	8	0	1431185	1431327	143	1	8.77e-58	220
23220_1#89	III	N/A	100.000	0	62	172	0	0	2105171	2105232	1	62	4.26e-26	115
23220_1#90	III	N/A	99.419	0	172	172	1	0	2120577	2120748	172	1	1.50e-85	313
23220_1#9	III	N/A	99.419	0	172	172	1	0	942914	943085	1	172	1.48e-85	313
23495_7#281	Ia	N/A	94.406	0	143	143	8	0	889471	889613	1	143	8.77e-58	220
23495_7#283	Ia	N/A	94.406	0	143	143	8	0	545782	545924	1	143	8.35e-58	220
23495_7#284	III	N/A	99.419	0	172	172	1	0	1129599	1129770	172	1	1.35e-85	313
23495_7#285	II	N/A	100.000	0	139	139	0	0	763016	763154	1	139	6.90e-69	257
23495_7#286	Ib	N/A	100.000	0	143	143	0	0	1001616	1001758	143	1	4.14e-71	265
23495_7#287	II	N/A	100.000	0	139	139	0	0	249631	249769	139	1	7.18e-69	257
23495_7#288	III	N/A	99.419	0	172	172	1	0	686487	686658	172	1	1.37e-85	313
23495_7#290	V	N/A	100.000	0	171	171	0	0	1064122	1064292	1	171	1.09e-86	316
23495_7#291	Ia	N/A	94.406	0	143	143	8	0	543037	543179	1	143	8.89e-58	220
23495_7#292	III	N/A	99.419	0	172	172	1	0	89830	90001	172	1	1.40e-85	313
23495_7#293	III	N/A	99.419	0	172	172	1	0	848010	848181	1	172	1.37e-85	313
23495_7#294	Ib	N/A	100.000	0	143	143	0	0	1127600	1127742	143	1	3.89e-71	265
23495_7#295	IV	N/A	100.000	0	222	222	0	0	1379221	1379442	1	222	5.14e-115	411
23495_7#297	V	N/A	100.000	0	171	171	0	0	43130	43300	1	171	1.10e-86	316
23495_7#298	V	N/A	100.000	0	171	171	0	0	67533	67703	1	171	1.09e-86	316
